@type,@lat,@lon,access,bicycle_parking,capacity,covered,fee,operator:type
node,35.0551254,-85.2841500,yes,wave,3,no,no,
node,35.0467158,-85.3093303,,stands,4,no,,
node,35.0431911,-85.3101584,,stands,4,no,,
node,35.0431973,-85.3107986,,stands,10,yes,,
node,35.0622904,-85.3056999,,,,,,
node,35.0671742,-85.3150793,,,,,,
node,35.0630045,-85.3084701,,wall_loops,5,no,,
node,35.0559209,-85.3067527,,,,no,,
node,35.1539459,-85.2481753,,,,,,
node,35.1528056,-85.2493555,,,,,,
node,35.1623556,-85.2477113,,,,,,
node,35.1147919,-85.2511308,,,,,,
node,35.0396851,-85.3099283,,rack,3,no,,
node,35.0228418,-85.1567064,customers,,,no,no,
node,35.0556529,-85.3066952,yes,stands,,no,no,
node,35.0556628,-85.3066990,yes,stands,,no,no,
node,35.0444088,-85.3105539,,rack,10,no,,
node,35.0384304,-85.3082382,,rack,6,no,no,
node,35.0406072,-85.3082757,yes,stands,3,no,no,public
node,35.0402132,-85.3115523,yes,stands,5,yes,no,public
node,35.0409123,-85.3075707,yes,stands,6,no,no,public
node,35.0631235,-85.3096936,yes,stands,2,no,no,public
node,35.0631796,-85.3097912,yes,stands,,no,no,public
node,35.0653711,-85.3080578,customers,stands,6,yes,no,private
node,35.0657471,-85.3108832,,stands,3,no,no,
node,35.0179191,-85.3232717,,stands,,no,,
node,35.0553842,-85.2837743,,rack,,no,no,
node,35.0498485,-85.3063497,yes,stands,2,no,no,public
node,35.0456618,-85.3101906,yes,stands,2,no,no,public
node,35.0441547,-85.3042074,yes,stands,2,no,no,public
node,35.0352355,-85.3047431,yes,stands,,no,no,public
node,35.0352196,-85.3047027,yes,stands,,no,no,public
node,35.0366192,-85.3088182,yes,stands,,no,no,public
node,35.0104906,-85.3284990,yes,stands,2,no,no,public
node,35.0499510,-85.3116351,yes,stands,2,no,no,public
node,35.0380052,-85.3075556,yes,stands,4,no,no,public
node,35.0380849,-85.3075604,yes,stands,4,no,no,public
node,35.0429157,-85.3091570,yes,stands,2,no,no,public
node,35.0094929,-85.3283272,,,,,,
node,35.0551595,-85.3109093,,stands,9,,,
node,35.0551547,-85.3106351,,stands,9,,,
node,35.0173488,-85.3225820,,,,,no,
node,35.0431676,-85.3095548,,,,,no,
node,35.0428566,-85.3095220,,,,,no,
node,35.0148285,-85.3254431,,,,,no,
node,35.0631858,-85.3146794,,wave,,no,no,
node,35.0339664,-85.3014138,yes,bollard,2,no,no,
node,35.0694971,-85.2894177,yes,bollard,2,no,no,
node,35.0702127,-85.2897534,yes,bollard,2,no,no,
node,35.0676900,-85.2883472,yes,stands,10,no,no,
node,35.0665307,-85.2880247,yes,stands,2,no,no,
node,35.0346534,-85.3036506,yes,stands,4,no,no,
node,35.0353588,-85.3050817,yes,stands,6,no,no,
node,35.0355236,-85.3053628,yes,stands,2,no,no,
node,35.0353766,-85.3055324,yes,bollard,2,no,no,
node,35.0357657,-85.3061383,yes,bollard,2,no,no,
node,35.0355877,-85.3060829,yes,bollard,2,no,no,
node,35.0457947,-85.2979824,yes,wave,8,no,no,
node,35.0473328,-85.2977809,yes,wave,15,no,no,
node,35.0472824,-85.2974404,yes,wave,4,no,no,
node,35.0475942,-85.2967794,yes,wave,9,no,no,
node,35.0449149,-85.2962908,yes,wave,9,no,no,
node,35.0454366,-85.2976097,yes,loops,12,no,no,
node,35.0408555,-85.3100943,,wall_loops,8,,,
node,35.0424028,-85.3093054,,stands,5,,,
node,35.0393084,-85.3092109,,stands,1,,,
node,35.0406853,-85.3096763,,stands,1,,,
node,35.0399228,-85.3088733,,stands,3,,,
node,35.0393211,-85.3087182,,stands,6,,,
node,35.0405631,-85.3085446,,stands,3,,,
node,35.0415960,-85.3097818,,stands,1,,,
node,35.0462508,-85.3092928,,stands,6,,,
node,35.0463066,-85.3092883,,stands,6,,,
node,35.0450143,-85.3092882,,stands,2,,,
node,35.0449544,-85.3095096,,stands,2,,,
node,35.0461972,-85.3092857,,stands,4,,,
node,35.0453898,-85.3092996,,stands,4,,,
node,35.0460595,-85.3092774,,stands,4,,,
node,35.0455142,-85.3092981,,stands,4,,,
node,35.0487758,-85.3107360,,stands,2,,,
node,35.0481329,-85.3125575,,stands,2,,,
node,35.0432945,-85.3127825,,stands,3,,,
node,35.0455129,-85.3115996,,stands,2,,,
node,35.0464460,-85.3116652,,stands,2,,,
node,35.0478596,-85.3103794,,stands,2,,,
node,35.0485243,-85.3094074,,stands,2,,,
node,35.0461978,-85.3116520,,stands,2,,,
node,35.0468171,-85.3125038,,stands,10,,,
node,35.0442599,-85.3078731,,stands,2,,,
node,35.0423627,-85.3098075,,stands,3,,,
node,35.0423835,-85.3102155,,stands,3,,,
node,35.0422942,-85.2991434,,bollard,2,,,
node,35.0400176,-85.2995474,,stands,6,,,
node,35.0407096,-85.3024556,,wave,8,,,
node,35.0409805,-85.3081656,,stands,2,,,
node,35.0384043,-85.3087769,,stands,2,,,
node,35.0373444,-85.3107544,,bollard,2,,,
node,35.0554497,-85.3127410,,stands,4,,,
node,35.0545197,-85.3119584,,stands,2,,,
node,35.0541259,-85.3110309,,rack,12,,,
node,35.0543540,-85.3095665,,stands,2,,,
node,35.0537262,-85.3095508,,stands,2,,,
node,35.0538124,-85.3095465,,stands,2,,,
node,35.0534002,-85.3097894,,stands,2,,,
node,35.0516501,-85.3097577,,stands,2,,,
node,35.0519560,-85.3105000,,stands,2,,,
node,35.0515877,-85.3104151,,wave,6,,,
node,35.0495421,-85.3096829,,stands,2,,,
node,35.0493024,-85.3094415,,stands,2,,,
node,35.0489180,-85.3096426,,stands,4,,,
node,35.0547459,-85.3054507,,stands,2,,,
node,35.0371672,-85.3164915,,rack,6,,,
node,35.0364796,-85.3166638,,stands,4,,,
node,35.0355276,-85.3149045,,stands,2,,,
node,35.0357432,-85.3147792,,stands,2,,,
node,35.0361613,-85.3145453,,stands,4,,,
way,35.0982590,-85.3347393,,shed,,,,
